iter	Passed	Remaining
0	2	276
1	4	225
2	6	200
3	8	204
4	10	202
5	12	194
6	19	261
7	27	315
8	28	293
9	34	311
10	37	302
11	38	285
12	40	273
13	42	261
14	44	249
15	46	244
16	48	238
17	51	234
18	53	227
19	54	219
20	57	214
21	59	209
22	62	207
23	64	203
24	65	197
25	71	203
26	73	197
27	74	192
28	79	193
29	80	188
30	84	188
31	87	185
32	90	183
33	91	178
34	93	173
35	98	174
36	99	169
37	101	165
38	104	163
39	107	160
40	111	160
41	112	155
42	113	150
43	115	147
44	117	143
45	121	142
46	123	139
47	125	135
48	128	134
49	130	130
50	134	129
51	136	126
52	138	122
53	140	119
54	142	116
55	145	114
56	147	111
57	149	107
58	150	104
59	156	104
60	158	101
61	160	98
62	162	95
63	163	92
64	168	90
65	169	87
66	171	84
67	173	81
68	175	78
69	178	76
70	180	73
71	182	70
72	186	68
73	188	66
74	189	63
75	195	61
76	196	58
77	199	56
78	201	53
79	207	51
80	209	49
81	212	46
82	215	44
83	217	41
84	219	38
85	221	36
86	222	33
87	226	30
88	228	28
89	230	25
90	234	23
91	236	20
92	238	17
93	242	15
94	243	12
95	245	10
96	247	7
97	248	5
98	250	2
99	252	0
